iteration,total_nodes,total_edges,n_static,n_dynamic,dynamic_n_nodes,dynamic_emission_mean,dynamic_emission_std,dynamic_emission_min,dynamic_emission_max,dynamic_spending_mean,dynamic_spending_std,dynamic_redmeat_mean,dynamic_redmeat_std,static_n_nodes,static_emission_mean,static_emission_std,static_emission_min,static_emission_max,static_spending_mean,static_spending_std,static_redmeat_mean,static_redmeat_std
0,815,71,0,815,815,1605.2308925006687,1119.055145961889,325.2772663574537,11066.352623847091,1637.4765214723927,925.2036948930609,384.81688452216616,435.86702821327464,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,815,71,0,815,815,1604.0443624723696,1118.9539345205137,325.2772663574537,11066.352623847091,1635.7515351949112,925.3003603221588,383.40759803174666,434.94964081912497,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,815,71,0,815,815,1604.0443624723696,1118.9539345205137,325.2772663574537,11066.352623847091,1635.7515351949112,925.3003603221588,383.40759803174666,434.94964081912497,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,815,71,0,815,815,1603.2378992151612,1119.156800491617,325.2772663574537,11066.352623847091,1634.8698921644566,925.5253112522148,382.7115727316502,435.14850908451524,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,815,71,0,815,815,1603.2378992151612,1119.156800491617,325.2772663574537,11066.352623847091,1634.8698921644566,925.5253112522148,382.7115727316502,435.14850908451524,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,815,71,0,815,815,1602.8271150714577,1119.2505201920394,325.2772663574537,11066.352623847091,1634.5366739883557,925.6883664516193,382.37323095181375,435.3989330268955,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,815,71,0,815,815,1602.8271150714577,1119.2505201920394,325.2772663574537,11066.352623847091,1634.5366739883557,925.6883664516193,382.37323095181375,435.3989330268955,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,815,71,0,815,815,1602.460374552832,1119.1175874307687,325.2772663574537,11066.352623847091,1634.5059951922442,925.7707991357446,382.18732088934047,435.56027526331667,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,815,71,0,815,815,1602.460374552832,1119.1175874307687,325.2772663574537,11066.352623847091,1634.5059951922442,925.7707991357446,382.18732088934047,435.56027526331667,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,815,71,0,815,815,1602.1605795312746,1118.916440240335,325.2772663574537,11066.352623847091,1634.6399323959618,925.7992855198169,382.11495811272516,435.6198216545901,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,815,71,0,815,815,1602.1605795312746,1118.916440240335,325.2772663574537,11066.352623847091,1634.6399323959618,925.7992855198169,382.11495811272516,435.6198216545901,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,815,71,0,815,815,1601.8829875263425,1118.677329789496,325.2772663574537,11066.352623847091,1634.8507775333317,925.7991238830024,382.06819112853583,435.6516481505102,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,815,71,0,815,815,1601.8829875263425,1118.677329789496,325.2772663574537,11066.352623847091,1634.8507775333317,925.7991238830024,382.06819112853583,435.6516481505102,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,815,71,0,815,815,1601.6003360195837,1118.44483792112,325.2772663574537,11066.352623847091,1635.0800749775333,925.7823305525078,382.0340081158064,435.67199561908507,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,815,71,0,815,815,1601.6003360195837,1118.44483792112,325.2772663574537,11066.352623847091,1635.0800749775333,925.7823305525078,382.0340081158064,435.67199561908507,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,815,71,0,815,815,1601.0237249997701,1117.9058353260123,325.2772663574537,11066.352623847091,1635.324332173832,925.769984064688,381.936847548706,435.6248310324818,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,815,71,0,815,815,1601.0237249997701,1117.9058353260123,325.2772663574537,11066.352623847091,1635.324332173832,925.769984064688,381.936847548706,435.6248310324818,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,815,71,0,815,815,1600.7357895806454,1117.7010537276756,325.2772663574537,11066.352623847091,1635.5654154322374,925.7486708970333,381.9086523493509,435.65054074644075,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
