iteration,total_nodes,total_edges,n_static,n_dynamic,dynamic_n_nodes,dynamic_emission_mean,dynamic_emission_std,dynamic_emission_min,dynamic_emission_max,dynamic_spending_mean,dynamic_spending_std,dynamic_redmeat_mean,dynamic_redmeat_std,static_n_nodes,static_emission_mean,static_emission_std,static_emission_min,static_emission_max,static_spending_mean,static_spending_std,static_redmeat_mean,static_redmeat_std
0,815,71,0,815,815,1605.2308925006687,1119.055145961889,325.2772663574537,11066.352623847091,1637.4765214723927,925.2036948930609,384.81688452216616,435.86702821327464,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,815,71,0,815,815,1604.044374638897,1118.9539400056246,325.2772663574537,11066.352623847091,1635.7514940978183,925.3003702476839,383.40768641597043,434.9495817485353,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,815,71,0,815,815,1604.044374638897,1118.9539400056246,325.2772663574537,11066.352623847091,1635.7514940978183,925.3003702476839,383.40768641597043,434.9495817485353,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,815,71,0,815,815,1603.23818750738,1119.156749775731,325.2772663574537,11066.352623847091,1634.8700043161045,925.5252955394302,382.7114306018782,435.14802856233484,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,815,71,0,815,815,1603.23818750738,1119.156749775731,325.2772663574537,11066.352623847091,1634.8700043161045,925.5252955394302,382.7114306018782,435.14802856233484,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,815,71,0,815,815,1602.8379320619665,1119.2472278328762,325.2772663574537,11066.352623847091,1634.5374186191295,925.688189535952,382.3834538696741,435.39068484931033,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,815,71,0,815,815,1602.8379320619665,1119.2472278328762,325.2772663574537,11066.352623847091,1634.5374186191295,925.688189535952,382.3834538696741,435.39068484931033,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,815,71,0,815,815,1602.4678307903703,1119.115075271221,325.2772663574537,11066.352623847091,1634.5065133516434,925.77065305684,382.194230595828,435.5542166822919,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,815,71,0,815,815,1602.4678307903703,1119.115075271221,325.2772663574537,11066.352623847091,1634.5065133516434,925.77065305684,382.194230595828,435.5542166822919,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,815,71,0,815,815,1602.1647656813466,1118.9149896307708,325.2772663574537,11066.352623847091,1634.6403261899482,925.7991489756116,382.1187347506867,435.6163019026144,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,815,71,0,815,815,1602.1647656813466,1118.9149896307708,325.2772663574537,11066.352623847091,1634.6403261899482,925.7991489756116,382.1187347506867,435.6163019026144,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,815,71,0,815,815,1601.8864386130524,1118.676492724917,325.2772663574537,11066.352623847091,1634.8518723538236,925.799183458957,382.07137847601297,435.648643479217,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,815,71,0,815,815,1601.8864386130524,1118.676492724917,325.2772663574537,11066.352623847091,1634.8518723538236,925.799183458957,382.07137847601297,435.648643479217,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,815,71,0,815,815,1601.300105622704,1118.1183408535571,325.2772663574537,11066.352623847091,1635.0917507518318,925.7885543342954,381.9665789917337,435.59959623996787,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,815,71,0,815,815,1601.300105622704,1118.1183408535571,325.2772663574537,11066.352623847091,1635.0917507518318,925.7885543342954,381.9665789917337,435.59959623996787,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,815,71,0,815,815,1601.0169611112292,1117.8947283201408,325.2772663574537,11066.352623847091,1635.3279629256385,925.7698955781029,381.93766412769054,435.6195446447609,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,815,71,0,815,815,1601.0169611112292,1117.8947283201408,325.2772663574537,11066.352623847091,1635.3279629256385,925.7698955781029,381.93766412769054,435.6195446447609,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,815,71,0,815,815,1600.7289939719537,1117.6899723509364,325.2772663574537,11066.352623847091,1635.5699948300287,925.7482976071555,381.9092102085549,435.6454847097301,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,815,71,0,815,815,1600.7289939719537,1117.6899723509364,325.2772663574537,11066.352623847091,1635.5699948300287,925.7482976071555,381.9092102085549,435.6454847097301,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,815,71,0,815,815,1600.4514983747938,1117.494562828819,325.2772663574537,11066.352623847091,1635.8198560807325,925.725091954923,381.88856816076895,435.6741226260674,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,815,71,0,815,815,1600.4514983747938,1117.494562828819,325.2772663574537,11066.352623847091,1635.8198560807325,925.725091954923,381.88856816076895,435.6741226260674,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,815,71,0,815,815,1600.152108219355,1117.325936958582,325.2772663574537,11066.352623847091,1636.074526841498,925.6998540681066,381.856322779561,435.71301589766756,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
