iteration,total_nodes,total_edges,n_static,n_dynamic,dynamic_n_nodes,dynamic_emission_mean,dynamic_emission_std,dynamic_emission_min,dynamic_emission_max,dynamic_spending_mean,dynamic_spending_std,dynamic_redmeat_mean,dynamic_redmeat_std,static_n_nodes,static_emission_mean,static_emission_std,static_emission_min,static_emission_max,static_spending_mean,static_spending_std,static_redmeat_mean,static_redmeat_std
0,815,71,0,815,815,1605.2308925006687,1119.055145961889,325.2772663574537,11066.352623847091,1637.4765214723927,925.2036948930609,384.81688452216616,435.86702821327464,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,815,71,0,815,815,1604.0443551347425,1118.953931230972,325.2772663574537,11066.352623847091,1635.7515599219175,925.3003543531418,383.407544901345,434.94967631536406,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,815,71,0,815,815,1604.0443551347425,1118.953931230972,325.2772663574537,11066.352623847091,1635.7515599219175,925.3003543531418,383.407544901345,434.94967631536406,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,815,71,0,815,815,1603.2377253871227,1119.156831037371,325.2772663574537,11066.352623847091,1634.8698241644588,925.5253208333759,382.7116596390775,435.1487992906136,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,815,71,0,815,815,1603.2377253871227,1119.156831037371,325.2772663574537,11066.352623847091,1634.8698241644588,925.5253208333759,382.7116596390775,435.1487992906136,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,815,71,0,815,815,1602.7668104855704,1119.2863327546747,325.2772663574537,11066.352623847091,1634.5270461033822,925.6887206145351,382.3609051625958,435.4087672435395,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,815,71,0,815,815,1602.7668104855704,1119.2863327546747,325.2772663574537,11066.352623847091,1634.5270461033822,925.6887206145351,382.3609051625958,435.4087672435395,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,815,71,0,815,815,1602.395810310116,1119.1567383859312,325.2772663574537,11066.352623847091,1634.4898754059086,925.7738227502708,382.1732741336137,435.5707836231165,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,815,71,0,815,815,1602.395810310116,1119.1567383859312,325.2772663574537,11066.352623847091,1634.4898754059086,925.7738227502708,382.1732741336137,435.5707836231165,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,815,71,0,815,815,1602.0792311360276,1118.9551532651856,325.2772663574537,11066.352623847091,1634.6127935493453,925.8005224242842,382.0697445797777,435.6567971613879,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,815,71,0,815,815,1602.0792311360276,1118.9551532651856,325.2772663574537,11066.352623847091,1634.6127935493453,925.8005224242842,382.0697445797777,435.6567971613879,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,815,71,0,815,815,1601.8035000405014,1118.7182351648598,325.2772663574537,11066.352623847091,1634.8205621095265,925.8046015406015,382.0280029833298,435.68412483125627,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,815,71,0,815,815,1601.8035000405014,1118.7182351648598,325.2772663574537,11066.352623847091,1634.8205621095265,925.8046015406015,382.0280029833298,435.68412483125627,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,815,71,0,815,815,1601.5206337713385,1118.486692550842,325.2772663574537,11066.352623847091,1635.046387050889,925.790014398608,381.9943272154067,435.7038703998356,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,815,71,0,815,815,1601.5206337713385,1118.486692550842,325.2772663574537,11066.352623847091,1635.046387050889,925.790014398608,381.9943272154067,435.7038703998356,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,815,71,0,815,815,1600.943986767865,1117.94789853017,325.2772663574537,11066.352623847091,1635.2885668497872,925.7786124181227,381.89753842955844,435.6563119129494,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,815,71,0,815,815,1600.943986767865,1117.94789853017,325.2772663574537,11066.352623847091,1635.2885668497872,925.7786124181227,381.89753842955844,435.6563119129494,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,815,71,0,815,815,1600.6561881689595,1117.7431120336794,325.2772663574537,11066.352623847091,1635.5280653297684,925.7578716076578,381.8699379472945,435.6814840054123,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,815,71,0,815,815,1600.6561881689595,1117.7431120336794,325.2772663574537,11066.352623847091,1635.5280653297684,925.7578716076578,381.8699379472945,435.6814840054123,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,815,71,0,815,815,1600.3787161979938,1117.547655310578,325.2772663574537,11066.352623847091,1635.7749837264698,925.7356881275631,381.8499643904639,435.70955749499393,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,815,71,0,815,815,1600.3787161979938,1117.547655310578,325.2772663574537,11066.352623847091,1635.7749837264698,925.7356881275631,381.8499643904639,435.70955749499393,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,815,71,0,815,815,1600.0793073879029,1117.37899673182,325.2772663574537,11066.352623847091,1636.0274900048103,925.7111692870221,381.81832022759255,435.7479428596299,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,815,71,0,815,815,1600.0793073879029,1117.37899673182,325.2772663574537,11066.352623847091,1636.0274900048103,925.7111692870221,381.81832022759255,435.7479428596299,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,815,71,0,815,815,1599.7593215712438,1117.2378940959693,325.2772663574537,11066.352623847091,1636.2723295226826,925.695847752503,381.7742301465835,435.79767823527123,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,815,71,0,815,815,1599.7593215712438,1117.2378940959693,325.2772663574537,11066.352623847091,1636.2723295226826,925.695847752503,381.7742301465835,435.79767823527123,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,815,71,0,815,815,1599.482545554269,1117.1018536788292,325.2772663574537,11066.352623847091,1636.5116732081701,925.6864654099271,381.7432154420535,435.84860948319505,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,815,71,0,815,815,1599.482545554269,1117.1018536788292,325.2772663574537,11066.352623847091,1636.5116732081701,925.6864654099271,381.7432154420535,435.84860948319505,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,815,71,0,815,815,1599.2524149678488,1117.0203047361363,325.2772663574537,11066.352623847091,1636.7362423155491,925.674678623043,381.7151067511857,435.89285765168955,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,815,71,0,815,815,1599.2524149678488,1117.0203047361363,325.2772663574537,11066.352623847091,1636.7362423155491,925.674678623043,381.7151067511857,435.89285765168955,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,815,71,0,815,815,1599.4744749009558,1116.6847016458114,325.2772663574537,11066.352623847091,1636.8107536953892,925.7315839693077,381.88479338292336,435.8887621874116,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,815,71,0,815,815,1599.4744749009558,1116.6847016458114,325.2772663574537,11066.352623847091,1636.8107536953892,925.7315839693077,381.88479338292336,435.8887621874116,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,815,71,0,815,815,1599.4922162098005,1116.5405168752452,325.2772663574537,11066.352623847091,1636.953540725953,925.7645210913945,381.9598348544892,435.93196569093806,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,815,71,0,815,815,1599.4922162098005,1116.5405168752452,325.2772663574537,11066.352623847091,1636.953540725953,925.7645210913945,381.9598348544892,435.93196569093806,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,815,71,0,815,815,1599.411524786047,1116.4548465464384,325.2772663574537,11066.352623847091,1637.1302433704261,925.7827246470432,381.98616880524776,435.9812070148999,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,815,71,0,815,815,1599.411524786047,1116.4548465464384,325.2772663574537,11066.352623847091,1637.1302433704261,925.7827246470432,381.98616880524776,435.9812070148999,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,815,71,0,815,815,1599.3162310100843,1116.3986709699436,325.2772663574537,11066.352623847091,1637.3108799122967,925.8022167927159,381.99291351606894,436.03146853084974,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,815,71,0,815,815,1599.3162310100843,1116.3986709699436,325.2772663574537,11066.352623847091,1637.3108799122967,925.8022167927159,381.99291351606894,436.03146853084974,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,815,71,0,815,815,1599.2016314861771,1116.3605862529048,325.2772663574537,11066.352623847091,1637.5011501263953,925.8164457617758,381.98597890434064,436.08551688438484,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,815,71,0,815,815,1599.2016314861771,1116.3605862529048,325.2772663574537,11066.352623847091,1637.5011501263953,925.8164457617758,381.98597890434064,436.08551688438484,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,815,71,0,815,815,1599.1177020094524,1116.3300871366741,325.2772663574537,11066.352623847091,1637.6961215922317,925.8237831450707,381.9912001714672,436.12797813820976,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,815,71,0,815,815,1599.1177020094524,1116.3300871366741,325.2772663574537,11066.352623847091,1637.6961215922317,925.8237831450707,381.9912001714672,436.12797813820976,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,815,71,0,815,815,1598.7621468454217,1116.097868227403,325.2772663574537,11066.352623847091,1637.7380273794315,925.7202254727003,381.7674792744067,435.77412776252464,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,815,71,0,815,815,1598.7621468454217,1116.097868227403,325.2772663574537,11066.352623847091,1637.7380273794315,925.7202254727003,381.7674792744067,435.77412776252464,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,815,71,0,815,815,1598.5733718522636,1116.0147546128412,325.2772663574537,11066.352623847091,1637.8360075766768,925.6688128646318,381.65802423658414,435.6411124452565,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,815,71,0,815,815,1598.5733718522636,1116.0147546128412,325.2772663574537,11066.352623847091,1637.8360075766768,925.6688128646318,381.65802423658414,435.6411124452565,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,815,71,0,815,815,1598.4794696485892,1115.9778495189037,325.2772663574537,11066.352623847091,1637.955314587632,925.6375233734631,381.61315061879344,435.5874895079363,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,815,71,0,815,815,1598.4794696485892,1115.9778495189037,325.2772663574537,11066.352623847091,1637.955314587632,925.6375233734631,381.61315061879344,435.5874895079363,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,815,71,0,815,815,1598.4404198079824,1115.9585820045852,325.2772663574537,11066.352623847091,1638.0867558146736,925.6155122684742,381.605176467062,435.56971288048675,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,815,71,0,815,815,1598.4404198079824,1115.9585820045852,325.2772663574537,11066.352623847091,1638.0867558146736,925.6155122684742,381.605176467062,435.56971288048675,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,815,71,0,815,815,1598.419321715117,1115.9442856123096,325.2772663574537,11066.352623847091,1638.2212603338724,925.595753720084,381.6081756841977,435.56176474787,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,815,71,0,815,815,1598.419321715117,1115.9442856123096,325.2772663574537,11066.352623847091,1638.2212603338724,925.595753720084,381.6081756841977,435.56176474787,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,815,71,0,815,815,1598.3943370814538,1115.9282411884265,325.2772663574537,11066.352623847091,1638.33653694197,925.5768900499039,381.60153478906886,435.5471911281533,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,815,71,0,815,815,1598.3943370814538,1115.9282411884265,325.2772663574537,11066.352623847091,1638.33653694197,925.5768900499039,381.60153478906886,435.5471911281533,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,815,71,0,815,815,1598.3636937955616,1115.9155459634565,325.2772663574537,11066.352623847091,1638.45202985053,925.5553309192288,381.5914842322507,435.53226821376245,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,815,71,0,815,815,1598.3636937955616,1115.9155459634565,325.2772663574537,11066.352623847091,1638.45202985053,925.5553309192288,381.5914842322507,435.53226821376245,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,815,71,0,815,815,1598.336583406673,1115.900530442305,325.2772663574537,11066.352623847091,1638.5660052793291,925.5373250687993,381.58292770511804,435.51747303490185,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,815,71,0,815,815,1598.336583406673,1115.900530442305,325.2772663574537,11066.352623847091,1638.5660052793291,925.5373250687993,381.58292770511804,435.51747303490185,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,815,71,0,815,815,1598.3080092554067,1115.887421235267,325.2772663574537,11066.352623847091,1638.6809707755024,925.5190505097078,381.5737495670738,435.5044976943578,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,815,71,0,815,815,1598.3080092554067,1115.887421235267,325.2772663574537,11066.352623847091,1638.6809707755024,925.5190505097078,381.5737495670738,435.5044976943578,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,815,71,0,815,815,1598.2790764833846,1115.8751021938376,325.2772663574537,11066.352623847091,1638.7964183257618,925.5015108773944,381.5644058307244,435.49297325322976,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,815,71,0,815,815,1598.2790764833846,1115.8751021938376,325.2772663574537,11066.352623847091,1638.7964183257618,925.5015108773944,381.5644058307244,435.49297325322976,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,815,71,0,815,815,1598.2476331146063,1115.8651712240041,325.2772663574537,11066.352623847091,1638.9066171120178,925.4870601168083,381.55527141711354,435.4833980645266,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,815,71,0,815,815,1598.2476331146063,1115.8651712240041,325.2772663574537,11066.352623847091,1638.9066171120178,925.4870601168083,381.55527141711354,435.4833980645266,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,815,71,0,815,815,1598.217436811372,1115.8546544763108,325.2772663574537,11066.352623847091,1639.0163805477387,925.4746383873447,381.54670219901556,435.474883434071,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,815,71,0,815,815,1598.217436811372,1115.8546544763108,325.2772663574537,11066.352623847091,1639.0163805477387,925.4746383873447,381.54670219901556,435.474883434071,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,815,71,0,815,815,1598.189323318224,1115.8428041699067,325.2772663574537,11066.352623847091,1639.125169685633,925.4649337251992,381.5390663681178,435.4671749784634,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,815,71,0,815,815,1598.189323318224,1115.8428041699067,325.2772663574537,11066.352623847091,1639.125169685633,925.4649337251992,381.5390663681178,435.4671749784634,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,815,71,0,815,815,1598.1579418421077,1115.8347516581969,325.2772663574537,11066.352623847091,1639.2362138508163,925.4525522746485,381.5272771747072,435.46005206800925,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,815,71,0,815,815,1598.1579418421077,1115.8347516581969,325.2772663574537,11066.352623847091,1639.2362138508163,925.4525522746485,381.5272771747072,435.46005206800925,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,815,71,0,815,815,1598.1327200685953,1115.8269568225192,325.2772663574537,11066.352623847091,1639.3578985180977,925.4598224241731,381.5312806244572,435.4696707941247,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,815,71,0,815,815,1598.1327200685953,1115.8269568225192,325.2772663574537,11066.352623847091,1639.3578985180977,925.4598224241731,381.5312806244572,435.4696707941247,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,815,71,0,815,815,1598.1058093754655,1115.8175034085966,325.2772663574537,11066.352623847091,1639.4596493198496,925.4509994347428,381.51227632119276,435.4527882674421,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,815,71,0,815,815,1598.1058093754655,1115.8175034085966,325.2772663574537,11066.352623847091,1639.4596493198496,925.4509994347428,381.51227632119276,435.4527882674421,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,815,71,0,815,815,1598.0798840340724,1115.8122557969727,325.2772663574537,11066.352623847091,1639.5793084889108,925.4586835894879,381.51116704128737,435.4607133297272,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,815,71,0,815,815,1598.0798840340724,1115.8122557969727,325.2772663574537,11066.352623847091,1639.5793084889108,925.4586835894879,381.51116704128737,435.4607133297272,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,815,71,0,815,815,1598.0549033417556,1115.8068988023251,325.2772663574537,11066.352623847091,1639.6985030487451,925.4682017053888,381.509439275392,435.4698012725013,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,815,71,0,815,815,1598.0549033417556,1115.8068988023251,325.2772663574537,11066.352623847091,1639.6985030487451,925.4682017053888,381.509439275392,435.4698012725013,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,815,71,0,815,815,1598.0300773405206,1115.802088497311,325.2772663574537,11066.352623847091,1639.8183633511767,925.4786737824356,381.50743551988194,435.480522988723,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,815,71,0,815,815,1598.0300773405206,1115.802088497311,325.2772663574537,11066.352623847091,1639.8183633511767,925.4786737824356,381.50743551988194,435.480522988723,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,815,71,0,815,815,1598.0072316864412,1115.7961551432318,325.2772663574537,11066.352623847091,1639.936013028421,925.4926739115916,381.5064737149539,435.4923058910139,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,815,71,0,815,815,1598.0072316864412,1115.7961551432318,325.2772663574537,11066.352623847091,1639.936013028421,925.4926739115916,381.5064737149539,435.4923058910139,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,815,71,0,815,815,1597.9807802466396,1115.7941397911288,325.2772663574537,11066.352623847091,1640.0584139464286,925.5042799964456,381.5034638052947,435.5077355233788,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,815,71,0,815,815,1597.9807802466396,1115.7941397911288,325.2772663574537,11066.352623847091,1640.0584139464286,925.5042799964456,381.5034638052947,435.5077355233788,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,815,71,0,815,815,1597.9551697777183,1115.792029631409,325.2772663574537,11066.352623847091,1640.1792978749154,925.5184574978963,381.50098003999005,435.524945034253,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,815,71,0,815,815,1597.9551697777183,1115.792029631409,325.2772663574537,11066.352623847091,1640.1792978749154,925.5184574978963,381.50098003999005,435.524945034253,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,815,71,0,815,815,1597.9329483636589,1115.787488708088,325.2772663574537,11066.352623847091,1640.2956194592136,925.5374892723861,381.49924801138695,435.5437773621997,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,815,71,0,815,815,1597.9329483636589,1115.787488708088,325.2772663574537,11066.352623847091,1640.2956194592136,925.5374892723861,381.49924801138695,435.5437773621997,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,815,71,0,815,815,1597.907867113213,1115.7862262087478,325.2772663574537,11066.352623847091,1640.4129261944254,925.5559921992244,381.49587488382923,435.56619669301494,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,815,71,0,815,815,1597.907867113213,1115.7862262087478,325.2772663574537,11066.352623847091,1640.4129261944254,925.5559921992244,381.49587488382923,435.56619669301494,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,815,71,0,815,815,1597.9188695542298,1115.765013891869,325.2772663574537,11066.352623847091,1640.4583240906827,925.6208473357527,381.43340678214446,435.6174833359355,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,815,71,0,815,815,1597.9188695542298,1115.765013891869,325.2772663574537,11066.352623847091,1640.4583240906827,925.6208473357527,381.43340678214446,435.6174833359355,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,815,71,0,815,815,1597.8949674665969,1115.7640219467155,325.2772663574537,11066.352623847091,1640.575568992727,925.6431291079854,381.4301175876216,435.6445687311692,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,815,71,0,815,815,1597.8949674665969,1115.7640219467155,325.2772663574537,11066.352623847091,1640.575568992727,925.6431291079854,381.4301175876216,435.6445687311692,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,815,71,0,815,815,1598.003349052684,1115.7804782929306,325.2772663574537,11066.352623847091,1640.7058870746114,925.6731688937454,381.6928092296788,435.60344475021964,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,815,71,0,815,815,1598.003349052684,1115.7804782929306,325.2772663574537,11066.352623847091,1640.7058870746114,925.6731688937454,381.6928092296788,435.60344475021964,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,815,71,0,815,815,1597.9791575002273,1115.7781076584106,325.2772663574537,11066.352623847091,1640.8186618590516,925.6975879507127,381.6931503838801,435.63559378870866,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,815,71,0,815,815,1597.9791575002273,1115.7781076584106,325.2772663574537,11066.352623847091,1640.8186618590516,925.6975879507127,381.6931503838801,435.63559378870866,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,815,71,0,815,815,1598.068259238807,1115.8006989257117,325.2772663574537,11066.352623847091,1640.933983193734,925.7208025448243,381.93399379151725,435.71951146587554,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,815,71,0,815,815,1598.068259238807,1115.8006989257117,325.2772663574537,11066.352623847091,1640.933983193734,925.7208025448243,381.93399379151725,435.71951146587554,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,815,71,0,815,815,1598.0722004241957,1115.816695179068,325.2772663574537,11066.352623847091,1640.989875364785,925.7246103175252,382.0238735518503,435.8166424263568,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,815,71,2,813,813,1606.497858147253,1119.9784201251748,325.2772663574537,11066.352623847091,1638.2312607626075,925.9925809119584,385.65002876453315,436.0726157671123,2,1103.5772988729254,485.8572169345984,617.7200819383271,1589.434515807524,1733.2803411738832,599.4340137374996,19.38090488436313,4.766460626706866
0,815,71,2,813,813,1605.3084018702177,1119.8783841759787,325.2772663574537,11066.352623847091,1636.5020557642836,926.0908008979676,384.2372221335746,435.15613856559156,2,1103.5772988729254,485.8572169345984,617.7200819383271,1589.434515807524,1733.2803411738832,599.4340137374996,19.38090488436313,4.766460626706866
1,815,71,2,813,813,1605.3084018702177,1119.8783841759787,325.2772663574537,11066.352623847091,1636.5020557642836,926.0908008979676,384.2372221335746,435.15613856559156,2,1103.5772988729254,485.8572169345984,617.7200819383271,1589.434515807524,1733.2803411738832,599.4340137374996,19.38090488436313,4.766460626706866
1,815,71,2,813,813,1604.4997877935755,1120.08252703078,325.2772663574537,11066.352623847091,1635.6181509151706,926.3168433919943,383.5396249764429,435.356984681278,2,1103.5772988729254,485.8572169345984,617.7200819383271,1589.434515807524,1733.2803411738832,599.4340137374996,19.38090488436313,4.766460626706866
